Entity1_id	Entity1_name	Entity1_type	Entity2_id	Entity2_name	Entity2_type
PA449441	efavirenz	Drug	PA121	CYP2A6	Gene
PA449441	efavirenz	Drug	PA123	CYP2B6	Gene
PA449441	efavirenz	Drug	PA124	CYP2C19	Gene
PA449441	efavirenz	Drug	PA130	CYP3A4	Gene
PA449441	efavirenz	Drug	PA131	CYP3A5	Gene
PA449441	efavirenz	Drug	PA18	NAT2	Gene
PA449441	efavirenz	Drug	PA193	HTR2A	Gene
PA449441	efavirenz	Drug	PA267	ABCB1	Gene
PA449441	efavirenz	Drug	PA27114	CYP3A	Gene
PA449441	efavirenz	Drug	PA27440	DNM1	Gene
PA449441	efavirenz	Drug	PA29778	IL10	Gene
PA449441	efavirenz	Drug	PA329	SLC22A1	Gene
PA449441	efavirenz	Drug	PA35072	HLA-DRB1	Gene
PA449441	efavirenz	Drug	PA35837	SLCO3A1	Gene
PA449441	efavirenz	Drug	PA361	UGT2B7	Gene
PA449441	efavirenz	Drug	PA378	NR1I2	Gene
PA449441	efavirenz	Drug	PA390	ABCG2	Gene
PA449441	efavirenz	Drug	PA391	NR1I3	Gene
PA449441	efavirenz	Drug	PA397	ABCC4	Gene
PA449441	efavirenz	Drug	PA420	UGT1A1	Gene
PA449273	dextromethorphan	Drug	PA121	CYP2A6	Gene
PA449273	dextromethorphan	Drug	PA123	CYP2B6	Gene
PA449273	dextromethorphan	Drug	PA124	CYP2C19	Gene
PA449273	dextromethorphan	Drug	PA125	CYP2C8	Gene
PA449273	dextromethorphan	Drug	PA126	CYP2C9	Gene
PA449273	dextromethorphan	Drug	PA128	CYP2D6	Gene
PA449273	dextromethorphan	Drug	PA129	CYP2E1	Gene
PA449273	dextromethorphan	Drug	PA130	CYP3A4	Gene
PA449273	dextromethorphan	Drug	PA131	CYP3A5	Gene
PA449273	dextromethorphan	Drug	PA267	ABCB1	Gene
PA449273	dextromethorphan	Drug	PA27093	CYP1A2	Gene
PA450180	lansoprazole	Drug	PA124	CYP2C19	Gene
PA450180	lansoprazole	Drug	PA267	ABCB1	Gene
PA450180	lansoprazole	Drug	PA27093	CYP1A2	Gene
PA450180	lansoprazole	Drug	PA29808	IL1B	Gene
PA450180	lansoprazole	Drug	PA378	NR1I2	Gene
PA450180	lansoprazole	Drug	PA435	TNF	Gene
PA448970	chlorthalidone	Drug	PA139	ACE	Gene
PA448970	chlorthalidone	Drug	PA256	NPPA	Gene
PA448970	chlorthalidone	Drug	PA26551	CLCN6	Gene
PA448970	chlorthalidone	Drug	PA305	SCNN1A	Gene
PA448970	chlorthalidone	Drug	PA30886	MMP3	Gene
PA448388	amlodipine	Drug	PA130	CYP3A4	Gene
PA448388	amlodipine	Drug	PA131	CYP3A5	Gene
PA448388	amlodipine	Drug	PA139	ACE	Gene
PA448388	amlodipine	Drug	PA142671259	NOS1AP	Gene
PA448388	amlodipine	Drug	PA256	NPPA	Gene
PA448388	amlodipine	Drug	PA26551	CLCN6	Gene
PA448388	amlodipine	Drug	PA267	ABCB1	Gene
PA448388	amlodipine	Drug	PA305	SCNN1A	Gene
PA448388	amlodipine	Drug	PA34897	RYR3	Gene
PA448388	amlodipine	Drug	PA83	CACNA1C	Gene
PA450705	ondansetron	Drug	PA128	CYP2D6	Gene
PA450705	ondansetron	Drug	PA130	CYP3A4	Gene
PA450705	ondansetron	Drug	PA131	CYP3A5	Gene
PA450705	ondansetron	Drug	PA267	ABCB1	Gene
PA450705	ondansetron	Drug	PA312	SLC6A4	Gene
PA449563	exemestane	Drug	PA130	CYP3A4	Gene
PA449563	exemestane	Drug	PA134882405	GLDN	Gene
PA449563	exemestane	Drug	PA134939318	DOCK4	Gene
PA449563	exemestane	Drug	PA156	ESR1	Gene
PA449563	exemestane	Drug	PA27091	CYP19A1	Gene
PA449563	exemestane	Drug	PA27316	DGKI	Gene
PA449563	exemestane	Drug	PA27361	DLGAP1	Gene
PA449563	exemestane	Drug	PA27397	DNAH12	Gene
PA449563	exemestane	Drug	PA27886	ESR2	Gene
PA449563	exemestane	Drug	PA28181	FLT3	Gene
PA449563	exemestane	Drug	PA30612	MAP4K4	Gene
PA449563	exemestane	Drug	PA33777	PRKG1	Gene
PA449563	exemestane	Drug	PA35892	SLC37A1	Gene
PA449563	exemestane	Drug	PA36400	TCL1A	Gene
PA449563	exemestane	Drug	PA38100	TUBB1	Gene
PA450272	lovastatin	Drug	PA108	CETP	Gene
PA450272	lovastatin	Drug	PA116	ABCC2	Gene
PA450272	lovastatin	Drug	PA124	CYP2C19	Gene
PA450272	lovastatin	Drug	PA125	CYP2C8	Gene
PA450272	lovastatin	Drug	PA126	CYP2C9	Gene
PA450272	lovastatin	Drug	PA128	CYP2D6	Gene
PA450272	lovastatin	Drug	PA130	CYP3A4	Gene
PA450272	lovastatin	Drug	PA131	CYP3A5	Gene
PA450272	lovastatin	Drug	PA134865839	SLCO1B1	Gene
PA450272	lovastatin	Drug	PA189	HMGCR	Gene
PA450272	lovastatin	Drug	PA212	KCNH2	Gene
PA450272	lovastatin	Drug	PA227	LDLR	Gene
PA450272	lovastatin	Drug	PA24888	APOA5	Gene
PA450272	lovastatin	Drug	PA267	ABCB1	Gene
PA450272	lovastatin	Drug	PA27121	CYP4F2	Gene
PA450272	lovastatin	Drug	PA35844	SLCO1B3	Gene
PA450272	lovastatin	Drug	PA35845	SLCO2B1	Gene
PA450272	lovastatin	Drug	PA361	UGT2B7	Gene
PA450272	lovastatin	Drug	PA37178	UGT1A3	Gene
PA450272	lovastatin	Drug	PA378	NR1I2	Gene
PA450272	lovastatin	Drug	PA420	UGT1A1	Gene
PA450272	lovastatin	Drug	PA55	APOE	Gene
PA450842	penicillin g	Drug	PA134865839	SLCO1B1	Gene
PA450144	ketamine	Drug	PA123	CYP2B6	Gene
